file,vehicle_id,accel_time_lt_30_s,accel_time_30_50_s,accel_time_50_70_s,accel_time_gt_70_s,accel_total_time_s,accel_pct_lt_30,accel_pct_30_50,accel_pct_50_70,accel_pct_gt_70,motor0_time_above_0_8_s,motor0_time_above_0_9_s,motor0_time_above_1_0_s,motor1_time_above_0_8_s,motor1_time_above_0_9_s,motor1_time_above_1_0_s,motor2_time_above_0_8_s,motor2_time_above_0_9_s,motor2_time_above_1_0_s,motor3_time_above_0_8_s,motor3_time_above_0_9_s,motor3_time_above_1_0_s,peak_accel_events,accel_clipping_time_s,accel_clipping_events
20250822191350.ulg,EL-017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250822191354.ulg,EL-017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250822191358.ulg,EL-017,1.001574,0.0,0.0,0.0,1.001574,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250822205514.ulg,EL-017,1.001592,0.0,0.0,0.0,1.001592,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250822202840.ulg,EL-017,12.001601999999998,0.0,0.0,0.0,12.001601999999998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250824205330.ulg,EL-017,58.005766,9.996232999999998,0.997037,0.0,68.99903599999998,0.8406750204452135,0.14487496607923628,0.01445001347555059,0.0,0.0,0.0,0.0,0.01729,0.003709,0.003709,1.525215,0.013585,0.00369,0.0,0.0,0.0,0.0,0.0,0.0
log_5_2025-9-27-15-10-46.ulg,EL-040,93.99951000000001,4.000953,0.0,0.0,98.000463,0.9591741418609422,0.04082585813905798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074529999999999996,0.0,0.0,0.0,0.0,0.0
20250824204230.ulg,EL-017,85.007011,11.999058,0.996725,0.0,98.00279400000001,0.8673937500190045,0.12243587667510784,0.010170373305887584,0.0,0.0,0.0,0.0,0.0037,0.0,0.0,0.013574000000000001,0.003705,0.0,0.187584,0.03579,0.0,0.0,0.0,0.0
20251013124230.ulg,EL-017,0.998007,0.0,0.0,0.0,0.998007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251013124320.ulg,EL-017,28.995431000000004,2.003435,0.0,0.0,30.998866000000003,0.935370700334651,0.06462929966534904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251013124954.ulg,EL-017,8.997566,0.0,0.0,0.0,8.997566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20250824204608.ulg,EL-017,77.996823,13.999203999999999,1.001967,0.0,92.997994,0.8386936066599459,0.15053232223482152,0.010774071105232657,0.0,0.011099,0.007405999999999999,0.0,0.087591,0.0,0.0,0.056764,0.013579999999999998,0.003701,0.04194,0.003703,0.0,0.0,0.0,0.0
20251013130432.ulg,EL-017,118.98789699999998,40.01560599999999,4.995785,1.998789,165.998077,0.7168028639271524,0.24106065999788656,0.030095438997163805,0.012041037077796992,0.0,0.0,0.0,0.0,0.0,0.0,0.003707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251013132806.ulg,EL-017,11.000337000000002,0.0,0.0,0.0,11.000337000000002,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251013135700.ulg,EL-017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20251013124754.ulg,EL-017,146.01605500000002,65.99339099999999,12.990936,0.0,225.000382,0.6489591426560335,0.29330346203589996,0.05773739530806663,0.0,0.013514,0.009807,0.007415,0.0,0.0,0.0,0.014826,0.0,0.0,0.024686999999999997,0.017249999999999998,0.017249999999999998,0.0,0.0,0.0
